1-15  主要城市平均气温 (2006年)												
单位：摄氏度												
 城   市	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月
 北    京	-1.9	-0.9	8.0	13.5	20.4	25.9	25.9	26.4	21.8	16.1	6.7	-1.0
 天    津	-2.7	-1.4	7.5	13.2	20.3	26.4	25.9	26.4	21.3	16.2	6.5	-1.7
 石 家 庄	-0.9	1.6	10.3	15.1	21.3	27.4	27.0	25.9	21.8	17.8	8.0	0.4
 太    原	-3.6	-0.4	6.8	14.5	19.1	23.2	25.7	23.1	17.4	13.4	4.4	-2.5
 呼和浩特	-9.2	-7.0	2.2	10.3	17.4	21.8	24.5	22.0	16.3	11.5	1.3	-7.7
 沈    阳	-12.7	-8.1	0.5	8.0	18.3	21.6	24.2	24.3	17.5	11.6	0.8	-6.7
 长    春	-14.5	-10.6	-1.3	6.1	17.0	20.2	23.5	23.3	17.1	9.6	-2.3	-9.3
 哈 尔 滨	-17.7	-12.6	-2.8	5.9	17.1	19.9	23.4	23.1	16.2	7.4	-4.5	-12.1
 上    海	5.7	5.6	11.1	16.6	20.8	25.6	29.4	30.2	23.9	22.1	15.7	8.2
 南    京	3.9	4.3	11.3	17.1	21.2	26.5	28.7	29.5	22.5	20.3	12.8	5.2
 杭    州	5.8	6.1	12.4	18.3	21.5	25.9	30.1	30.6	23.3	21.9	15.1	7.7
 合    肥	3.4	4.5	11.7	17.2	21.7	26.7	28.8	29.0	22.2	20.4	12.8	5.0
 福    州	12.5	12.5	14.0	19.4	22.3	26.5	29.4	29.0	25.9	24.4	19.8	14.1
 南    昌	6.6	6.5	12.7	19.3	22.7	26.0	30.0	30.0	24.3	22.1	15.0	8.1
 济    南	0.0	2.1	10.2	16.5	21.5	26.9	27.4	26.0	21.4	19.5	10.0	1.6
 郑    州	0.3	3.9	11.5	17.1	21.8	27.8	27.1	26.1	21.2	19.0	10.8	3.0
 武    汉	4.2	5.8	12.8	19.0	23.9	28.4	30.2	29.7	24.0	21.0	14.0	6.8
 长    沙	5.3	6.2	12.5	19.9	23.6	27.0	30.1	29.5	24.0	21.3	14.7	7.8
 广    州	15.8	17.3	17.9	23.6	25.3	27.8	29.8	29.4	27.0	26.4	21.9	16.0
 南    宁	14.3	14.3	17.5	23.9	25.2	27.6	28.0	27.2	25.7	25.6	20.4	14.0
 海    口	18.5	20.5	21.8	26.7	28.3	29.4	30.0	28.5	27.4	27.1	25.3	20.8
 重    庆	7.8	9.0	13.3	19.2	22.9	25.4	31.0	32.4	24.8	20.6	14.6	9.4
 温    州	5.8	7.5	12.1	17.9	21.6	24.0	26.9	26.6	20.9	19.0	13.3	6.9
 贵    阳	4.3	5.4	10.2	17.0	18.9	21.1	23.8	23.2	20.5	16.7	11.2	5.8
 昆    明	10.8	13.2	15.9	18.0	18.0	20.4	21.3	20.6	18.3	16.9	13.2	9.8
 拉    萨	2.7	5.0	6.2	8.3	12.8	17.8	18.3	17.1	14.7	8.6	3.7	1.2
 西    安	-0.2	4.3	10.8	16.8	21.4	26.5	28.2	26.0	19.5	16.8	9.4	2.3
 兰    州	-6.9	-2.6	3.2	10.3	15.6	20.0	22.2	21.9	13.8	10.2	1.5	-7.4
 西    宁	-6.5	-3.0	1.4	7.1	12.0	15.5	18.7	18.2	11.7	7.6	0.3	-6.4
 银    川	-7.4	-2.2	4.9	13.6	18.8	23.7	24.8	23.8	16.5	13.7	4.4	-4.3
 乌鲁木齐	-14.2	-6.7	1.2	12.0	16.8	23.2	24.5	24.1	17.6	11.4	1.9	-8.8
